Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série A,lsauer fc,21,7,0,3,798.700439453125,764.629638671875,34.07080078125,1
Série A,TEAM LOPES 99,21,7,0,3,785.02001953125,727.310302734375,57.709716796875,2
Série A,seralex,21,7,0,3,770.899658203125,651.510009765625,119.3896484375,3
Série A,Atlético Colorado 2021,21,7,0,3,683.0107421875,642.59033203125,40.42041015625,4
Série A,Texas Club 2026,18,6,0,4,794.530517578125,687.11962890625,107.410888671875,5
Série A,Fedato Futebol Clube,18,6,0,4,791.659423828125,710.1298828125,81.529541015625,6
Série A,Dom Camillo68,18,6,0,4,765.739990234375,731.659423828125,34.08056640625,7
Série A,JV5 Tricolor Gaúcho,18,6,0,4,722.219482421875,662.8095703125,59.409912109375,8
Série A,cartola scheuer17,15,5,0,5,797.030517578125,745.349609375,51.680908203125,9
Série A,TORRESMO COM PINGA PRO26.2,15,5,0,5,759.599609375,759.969482421875,-0.369873046875,10
Série A,Paulo Virgili FC,15,5,0,5,677.279052734375,678.5498046875,-1.270751953125,11
Série A,Rolo Compressor  ZN,15,5,0,5,675.779296875,700.15966796875,-24.38037109375,12
Série A,MAFRA MARTINS FC,15,5,0,5,620.1904296875,660.089599609375,-39.899169921875,13
Série A,Mau Humor F.C.,12,4,0,6,717.8193359375,734.289794921875,-16.470458984375,14
Série A,TIGRE LEON,12,4,0,6,702.629638671875,770.9697265625,-68.340087890625,15
Série A,Gremiomaniasm,12,4,0,6,626.839599609375,698.030029296875,-71.1904296875,16
Série A,Tatols Beants F.C,9,3,0,7,722.900146484375,740.419677734375,-17.51953125,17
Série A,FBC Colorado,9,3,0,7,703.089599609375,776.240234375,-73.150634765625,18
Série A,VASCO MARTINS FC,9,3,0,7,631.299560546875,699.3402099609375,-68.0406494140625,19
Série A,pura bucha/internacional,6,2,0,8,490.6102294921875,695.6806640625,-205.0704345703125,20
