Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,FBC Colorado,Tatols Beants F.C,3,14
1,2,Mau Humor F.C.,Atlético Colorado 2021,8,1
1,3,Gremiomaniasm,Dom Camillo68,5,2
1,4,MAFRA MARTINS FC,JV5 Tricolor Gaúcho,7,6
1,5,TORRESMO COM PINGA PRO26.2,Fedato Futebol Clube,13,4
1,6,cartola scheuer17,pura bucha/internacional,17,19
1,7,Texas Club 2026,seralex,15,20
1,8,TIGRE LEON,Rolo Compressor ZN,12,10
1,9,VASCO MARTINS FC,Paulo Virgili FC,16,9
1,10,TEAM LOPES 99,lsauer fc,11,18
2,1,FBC Colorado,Texas Club 2026,3,15
2,2,Dom Camillo68,Mau Humor F.C.,2,8
2,3,Atlético Colorado 2021,JV5 Tricolor Gaúcho,1,6
2,4,TORRESMO COM PINGA PRO26.2,Gremiomaniasm,13,5
2,5,Tatols Beants F.C,MAFRA MARTINS FC,14,7
2,6,Fedato Futebol Clube,cartola scheuer17,4,17
2,7,pura bucha/internacional,Rolo Compressor ZN,19,10
2,8,Paulo Virgili FC,seralex,9,20
2,9,TEAM LOPES 99,TIGRE LEON,11,12
2,10,VASCO MARTINS FC,lsauer fc,16,18
