Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série B,Pity10,12,4,0,1,387.22021484375,356.059892578125,31.160322265624984,1
Série B,lsauer fc,12,4,0,1,339.63017578125,306.069580078125,33.56059570312499,2
Série B,Mau Humor F.C.,12,4,0,1,322.76962890625,311.349560546875,11.420068359374966,3
Série B,seralex,10,3,1,1,343.849755859375,287.119921875,56.729833984375034,4
Série B,cartola scheuer17,10,3,1,1,336.94990234375,296.629736328125,40.320166015625034,5
Série B,Dom Camillo68,10,3,1,1,335.31015625,267.2296875,68.08046874999997,6
Série B,TEAM LOPES 99,9,3,0,2,316.559765625,277.0900390625,39.4697265625,7
Série B,Tatols Beants F.C,9,3,0,2,303.590380859375,314.81982421875,-11.229443359375011,8
Série B,Texas Club 2026,7,2,1,2,343.44990234375,343.03974609375,0.41015625,9
Série B,Fedato Futebol Clube,7,2,1,2,333.2294921875,308.340576171875,24.888916015625,10
Série B,CAFÉ AMARGO PRO26.2,7,2,1,2,312.0693359375,293.35009765625,18.71923828125,11
Série B,JV5 Tricolor Gaúcho,6,2,0,3,312.890087890625,302.62998046875,10.260107421875034,12
Série B,Gremiomaniasm,6,2,0,3,308.879716796875,343.0697021484375,-34.189985351562484,13
Série B,Rolo Compressor  ZN,6,2,0,3,300.919482421875,293.330009765625,7.5894726562499955,14
Série B,TIGRE LEON,6,2,0,3,281.669921875,273.9998046875,7.670117187500011,15
Série B,PUXE FC,6,2,0,3,262.419921875,304.370166015625,-41.95024414062499,16
Série B,FBC Colorado,3,1,0,4,326.529833984375,364.96962890625,-38.439794921875034,17
Série B,Paulo Virgili FC,3,1,0,4,308.66953125,358.93970703125,-50.27017578125003,18
Série B,Sport Clube PAIM,3,1,0,4,270.109794921875,332.869921875,-62.760126953124995,19
Série B,pura bucha/internacional,3,1,0,4,224.8199560546875,336.259375,-111.43941894531247,20
