Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série C,lsauer fc,30,10,0,2,973.560302734375,822.319580078125,151.24072265625,1
Série C,cartola scheuer17,27,9,0,3,961.090576171875,847.57958984375,113.510986328125,2
Série C,CAFÉ AMARGO PRO26.2,27,9,0,3,936.25927734375,831.309814453125,104.949462890625,3
Série C,Texas Club 2026,24,8,0,4,969.950439453125,925.619384765625,44.3310546875,4
Série C,TEAM LOPES 99,24,8,0,4,963.580078125,842.93115234375,120.64892578125,5
Série C,seralex,21,7,0,5,938.260009765625,867.349609375,70.910400390625,6
Série C,Dom Camillo68,21,7,0,5,923.270263671875,798.049560546875,125.220703125,7
Série C,Mau Humor F.C.,21,7,0,5,901.029296875,898.40966796875,2.61962890625,8
Série C,Tatols Beants F.C,18,6,0,6,870.18017578125,919.2197265625,-49.03955078125,9
Série C,FBC Colorado,18,6,0,6,869.699951171875,901.2197265625,-31.519775390625,10
Série C,Fedato Futebol Clube,15,5,0,7,964.039306640625,927.41015625,36.629150390625,11
Série C,pra sempre imortal fc,15,5,0,7,903.159912109375,929.7900390625,-26.630126953125,12
Série C,Rolo Compressor  ZN,15,5,0,7,850.58935546875,914.529541015625,-63.940185546875,13
Série C,A Lenda Super Vasco F.c,15,5,0,7,849.749755859375,882.0499267578125,-32.3001708984375,14
Série C,Paulo Virgili FC,15,5,0,7,814.00927734375,878.819580078125,-64.810302734375,15
Série C,TATITTA FC,12,4,0,8,878.1796875,866.06982421875,12.10986328125,16
Série C,TIGRE LEON,12,4,0,8,874.339599609375,933.2509765625,-58.911376953125,17
Série C,Gremiomaniasm,12,4,0,8,774.109619140625,843.780029296875,-69.67041015625,18
Série C,mercearia Estrela,9,3,0,9,721.320068359375,856.230224609375,-134.91015625,19
Série C,pura bucha/internacional,9,3,0,9,619.5899658203125,870.02880859375,-250.4388427734375,20
