Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,pura bucha/internacional,FBC Colorado,19,4
1,2,Texas Club 2026,TIGRE LEON,14,12
1,3,Dom Camillo68,mercearia Estrela,3,17
1,4,TEAM LOPES 99,Mau Humor F.C.,11,7
1,5,Tatols Beants F.C,Fedato Futebol Clube,13,5
1,6,Rolo Compressor ZN,Paulo Virgili FC,9,8
1,7,TATITTA FC,CAFÉ AMARGO PRO26.2,10,2
1,8,lsauer fc,cartola scheuer17,16,15
1,9,Gremiomaniasm,pra sempre imortal fc,6,18
1,10,A Lenda Super Vasco F.c,seralex,1,20
2,1,Mau Humor F.C.,FBC Colorado,7,4
2,2,Dom Camillo68,TIGRE LEON,3,12
2,3,Texas Club 2026,TEAM LOPES 99,14,11
2,4,mercearia Estrela,Fedato Futebol Clube,17,5
2,5,Paulo Virgili FC,Tatols Beants F.C,8,13
2,6,CAFÉ AMARGO PRO26.2,pura bucha/internacional,2,19
2,7,cartola scheuer17,Rolo Compressor ZN,15,9
2,8,TATITTA FC,pra sempre imortal fc,10,18
2,9,seralex,lsauer fc,20,16
2,10,A Lenda Super Vasco F.c,Gremiomaniasm,1,6
