Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Pontos Corridos,lsauer fc,34,11,1,1,1082.150146484375,887.610107421875,194.5400390625,1
Pontos Corridos,GE Xavanchesteer,30,10,0,3,953.820556640625,856.14013671875,97.680419921875,2
Pontos Corridos,SC ÉoINTER!,27,9,0,4,1020.459716796875,978.1103515625,42.349365234375,3
Pontos Corridos,Pontaç0 F.C.,25,8,1,4,951.6201171875,919.610595703125,32.009521484375,4
Pontos Corridos,Esquadrão Gazembrino,24,8,0,5,1140.599853515625,1023.72021484375,116.879638671875,5
Pontos Corridos,JV5 Tricolor Gaúcho,24,8,0,5,997.819580078125,990.6002197265625,7.2193603515625,6
Pontos Corridos,Medonho´s F.C.,24,8,0,5,970.3798828125,912.58984375,57.7900390625,7
Pontos Corridos,Arran Katoko FC,24,8,0,5,939.4796142578125,900.850341796875,38.6292724609375,8
Pontos Corridos,Texas Club 2026,21,7,0,6,1076.340576171875,1013.97021484375,62.370361328125,9
Pontos Corridos,Doug Leal F.C,21,7,0,6,989.800048828125,920.6895751953125,69.1104736328125,10
Pontos Corridos,GrioTeam,21,7,0,6,926.96044921875,981.5302734375,-54.56982421875,11
Pontos Corridos,Grêmio_Campeão_LA_27,19,6,1,6,945.22021484375,893.009765625,52.21044921875,12
Pontos Corridos,La Primeira Patada Es Nuestra,18,6,0,7,1022.160400390625,915.8896484375,106.270751953125,13
Pontos Corridos,bugredasmissões,15,5,0,8,1013.980224609375,1001.99951171875,11.980712890625,14
Pontos Corridos,FBC Colorado,15,5,0,8,982.989990234375,944.360595703125,38.62939453125,15
Pontos Corridos,SC 100 Sono,15,5,0,8,876.24951171875,948.030029296875,-71.780517578125,16
Pontos Corridos,GaúchoDaFronteira F.C,12,4,0,9,811.0601806640625,937.4000244140625,-126.33984375,17
Pontos Corridos,C R Juvenal,9,3,0,10,874.860595703125,978.540283203125,-103.6796875,18
Pontos Corridos,Pepe Leal FC,7,2,1,10,717.09033203125,923.4404296875,-206.35009765625,19
Pontos Corridos,NHU PORÃ SAF.,3,1,0,12,703.9705810546875,1068.92041015625,-364.9498291015625,20
