Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,FBC Colorado,GE Bebum,5,6
1,2,GaúchoDaFronteira F.C,Pepe Leal FC,7,14
1,3,Grêmio_Campeão_LA_27,SC 100 Sono,9,16
1,4,Medonho´s F.C.,C R Juvenal,12,2
1,5,bugredasmissões,Arran Katoko FC,19,1
1,6,lsauer fc,JV5 Tricolor Gaúcho,20,10
1,7,Pontaç0 F.C.,La Primeira Patada Es Nuestra,15,11
1,8,GrioTeam,Texas Club 2026,8,18
1,9,Esquadrão Gazembrino,SC ÉoINTER!,4,17
1,10,Doug Leal F.C,NHU PORÃ SAF.,3,13
2,1,FBC Colorado,GrioTeam,5,8
2,2,Grêmio_Campeão_LA_27,GaúchoDaFronteira F.C,9,7
2,3,Pepe Leal FC,Medonho´s F.C.,14,12
2,4,SC 100 Sono,Arran Katoko FC,16,1
2,5,C R Juvenal,lsauer fc,2,20
2,6,GE Bebum,bugredasmissões,6,19
2,7,JV5 Tricolor Gaúcho,Pontaç0 F.C.,10,15
2,8,La Primeira Patada Es Nuestra,SC ÉoINTER!,11,17
2,9,Texas Club 2026,Doug Leal F.C,18,3
2,10,Esquadrão Gazembrino,NHU PORÃ SAF.,4,13
