Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,FBC Colorado,GE Xavanchesteer,186283,16411206
1,2,GaúchoDaFronteira F.C,Pepe Leal FC,2371918,1326835
1,3,Grêmio_Campeão_LA_27,SC 100 Sono,47775950,14709358
1,4,Medonho´s F.C.,C R Juvenal,1867254,1488983
1,5,bugredasmissões,Arran Katoko FC,19209079,19833277
1,6,lsauer fc,JV5 Tricolor Gaúcho,44810918,1747619
1,7,Pontaç0 F.C.,La Primeira Patada Es Nuestra,20651178,32966
1,8,GrioTeam,Texas Club 2026,14933455,1273719
1,9,Esquadrão Gazembrino,SC ÉoINTER!,2916559,184499
1,10,Doug Leal F.C,NHU PORÃ SAF.,287965,4088673
2,1,FBC Colorado,GrioTeam,186283,14933455
2,2,Grêmio_Campeão_LA_27,GaúchoDaFronteira F.C,47775950,2371918
2,3,Pepe Leal FC,Medonho´s F.C.,1326835,1867254
2,4,SC 100 Sono,Arran Katoko FC,14709358,19833277
2,5,C R Juvenal,lsauer fc,1488983,44810918
2,6,GE Xavanchesteer,bugredasmissões,16411206,19209079
2,7,JV5 Tricolor Gaúcho,Pontaç0 F.C.,1747619,20651178
2,8,La Primeira Patada Es Nuestra,SC ÉoINTER!,32966,184499
2,9,Texas Club 2026,Doug Leal F.C,1273719,287965
2,10,Esquadrão Gazembrino,NHU PORÃ SAF.,2916559,4088673
3,1,Doug Leal F.C,FBC Colorado,287965,186283
3,2,Medonho´s F.C.,GaúchoDaFronteira F.C,1867254,2371918
3,3,Grêmio_Campeão_LA_27,Arran Katoko FC,47775950,19833277
3,4,lsauer fc,Pepe Leal FC,44810918,1326835
3,5,GE Xavanchesteer,SC 100 Sono,16411206,14709358
3,6,C R Juvenal,Pontaç0 F.C.,1488983,20651178
3,7,GrioTeam,bugredasmissões,14933455,19209079
3,8,SC ÉoINTER!,JV5 Tricolor Gaúcho,184499,1747619
3,9,NHU PORÃ SAF.,La Primeira Patada Es Nuestra,4088673,32966
3,10,Texas Club 2026,Esquadrão Gazembrino,1273719,2916559
4,1,Esquadrão Gazembrino,FBC Colorado,2916559,186283
