Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,FBC Colorado,Tatols Beants F.C,186283,212042
1,2,Mau Humor F.C.,Atlético Colorado 2021,19033717,44574146
1,3,Gremiomaniasm,Dom Camillo68,528730,20696550
1,4,MAFRA MARTINS FC,JV5 Tricolor Gaúcho,4911779,1747619
1,5,TORRESMO COM PINGA PRO26.2,Fedato Futebol Clube,49126346,18642587
1,6,cartola scheuer17,pura bucha/internacional,3851966,18661583
1,7,Texas Club 2026,seralex,1273719,29228373
1,8,TIGRE LEON,Rolo Compressor  ZN,3424598,18223508
1,9,VASCO MARTINS FC,Paulo Virgili FC,14696986,14124559
1,10,TEAM LOPES 99,lsauer fc,479510,44810918
2,1,FBC Colorado,Texas Club 2026,186283,1273719
2,2,Dom Camillo68,Mau Humor F.C.,20696550,19033717
2,3,Atlético Colorado 2021,JV5 Tricolor Gaúcho,44574146,1747619
2,4,TORRESMO COM PINGA PRO26.2,Gremiomaniasm,49126346,528730
2,5,Tatols Beants F.C,MAFRA MARTINS FC,212042,4911779
2,6,Fedato Futebol Clube,cartola scheuer17,18642587,3851966
2,7,pura bucha/internacional,Rolo Compressor  ZN,18661583,18223508
2,8,Paulo Virgili FC,seralex,14124559,29228373
2,9,TEAM LOPES 99,TIGRE LEON,479510,3424598
2,10,VASCO MARTINS FC,lsauer fc,14696986,44810918
3,1,Paulo Virgili FC,FBC Colorado,14124559,186283
3,2,JV5 Tricolor Gaúcho,Mau Humor F.C.,1747619,19033717
3,3,Dom Camillo68,TORRESMO COM PINGA PRO26.2,20696550,49126346
3,4,Tatols Beants F.C,Atlético Colorado 2021,212042,44574146
3,5,Gremiomaniasm,cartola scheuer17,528730,3851966
3,6,MAFRA MARTINS FC,Texas Club 2026,4911779,1273719
3,7,Rolo Compressor  ZN,Fedato Futebol Clube,18223508,18642587
3,8,TEAM LOPES 99,pura bucha/internacional,479510,18661583
3,9,seralex,lsauer fc,29228373,44810918
3,10,VASCO MARTINS FC,TIGRE LEON,14696986,3424598
4,1,FBC Colorado,lsauer fc,186283,44810918
4,2,Mau Humor F.C.,TORRESMO COM PINGA PRO26.2,19033717,49126346
4,3,JV5 Tricolor Gaúcho,Tatols Beants F.C,1747619,212042
4,4,Dom Camillo68,cartola scheuer17,20696550,3851966
4,5,Texas Club 2026,Atlético Colorado 2021,1273719,44574146
4,6,Rolo Compressor  ZN,Gremiomaniasm,18223508,528730
4,7,Paulo Virgili FC,MAFRA MARTINS FC,14124559,4911779
4,8,Fedato Futebol Clube,TEAM LOPES 99,18642587,479510
4,9,VASCO MARTINS FC,pura bucha/internacional,14696986,18661583
4,10,seralex,TIGRE LEON,29228373,3424598
5,1,TIGRE LEON,FBC Colorado,3424598,186283
5,2,Mau Humor F.C.,Tatols Beants F.C,19033717,212042
5,3,TORRESMO COM PINGA PRO26.2,cartola scheuer17,49126346,3851966
5,4,JV5 Tricolor Gaúcho,Texas Club 2026,1747619,1273719
5,5,Rolo Compressor  ZN,Dom Camillo68,18223508,20696550
5,6,Atlético Colorado 2021,Paulo Virgili FC,44574146,14124559
5,7,TEAM LOPES 99,Gremiomaniasm,479510,528730
5,8,MAFRA MARTINS FC,lsauer fc,4911779,44810918
5,9,VASCO MARTINS FC,Fedato Futebol Clube,14696986,18642587
5,10,pura bucha/internacional,seralex,18661583,29228373
6,1,pura bucha/internacional,FBC Colorado,18661583,186283
6,2,cartola scheuer17,Mau Humor F.C.,3851966,19033717
6,3,Texas Club 2026,Tatols Beants F.C,1273719,212042
6,4,Rolo Compressor  ZN,TORRESMO COM PINGA PRO26.2,18223508,49126346
6,5,JV5 Tricolor Gaúcho,Paulo Virgili FC,1747619,14124559
6,6,Dom Camillo68,TEAM LOPES 99,20696550,479510
6,7,lsauer fc,Atlético Colorado 2021,44810918,44574146
6,8,VASCO MARTINS FC,Gremiomaniasm,14696986,528730
6,9,MAFRA MARTINS FC,TIGRE LEON,4911779,3424598
6,10,seralex,Fedato Futebol Clube,29228373,18642587
7,1,Fedato Futebol Clube,FBC Colorado,18642587,186283
7,2,Texas Club 2026,Mau Humor F.C.,1273719,19033717
7,3,cartola scheuer17,Rolo Compressor  ZN,3851966,18223508
7,4,Tatols Beants F.C,Paulo Virgili FC,212042,14124559
7,5,TEAM LOPES 99,TORRESMO COM PINGA PRO26.2,479510,49126346
7,6,JV5 Tricolor Gaúcho,lsauer fc,1747619,44810918
7,7,Dom Camillo68,VASCO MARTINS FC,20696550,14696986
7,8,TIGRE LEON,Atlético Colorado 2021,3424598,44574146
7,9,Gremiomaniasm,seralex,528730,29228373
7,10,pura bucha/internacional,MAFRA MARTINS FC,18661583,4911779
8,1,FBC Colorado,Gremiomaniasm,186283,528730
8,2,Mau Humor F.C.,Rolo Compressor  ZN,19033717,18223508
8,3,Paulo Virgili FC,Texas Club 2026,14124559,1273719
8,4,TEAM LOPES 99,cartola scheuer17,479510,3851966
8,5,lsauer fc,Tatols Beants F.C,44810918,212042
8,6,VASCO MARTINS FC,TORRESMO COM PINGA PRO26.2,14696986,49126346
8,7,TIGRE LEON,JV5 Tricolor Gaúcho,3424598,1747619
8,8,seralex,Dom Camillo68,29228373,20696550
8,9,pura bucha/internacional,Atlético Colorado 2021,18661583,44574146
8,10,Fedato Futebol Clube,MAFRA MARTINS FC,18642587,4911779
9,1,Dom Camillo68,FBC Colorado,20696550,186283
9,2,Paulo Virgili FC,Mau Humor F.C.,14124559,19033717
9,3,Rolo Compressor  ZN,TEAM LOPES 99,18223508,479510
9,4,lsauer fc,Texas Club 2026,44810918,1273719
9,5,VASCO MARTINS FC,cartola scheuer17,14696986,3851966
9,6,Tatols Beants F.C,TIGRE LEON,212042,3424598
9,7,seralex,TORRESMO COM PINGA PRO26.2,29228373,49126346
9,8,JV5 Tricolor Gaúcho,pura bucha/internacional,1747619,18661583
9,9,Atlético Colorado 2021,Fedato Futebol Clube,44574146,18642587
9,10,MAFRA MARTINS FC,Gremiomaniasm,4911779,528730
10,1,TORRESMO COM PINGA PRO26.2,FBC Colorado,49126346,186283
10,2,Mau Humor F.C.,TEAM LOPES 99,19033717,479510
10,3,lsauer fc,Paulo Virgili FC,44810918,14124559
10,4,VASCO MARTINS FC,Rolo Compressor  ZN,14696986,18223508
10,5,TIGRE LEON,Texas Club 2026,3424598,1273719
10,6,cartola scheuer17,seralex,3851966,29228373
10,7,Tatols Beants F.C,pura bucha/internacional,212042,18661583
10,8,JV5 Tricolor Gaúcho,Fedato Futebol Clube,1747619,18642587
10,9,Dom Camillo68,MAFRA MARTINS FC,20696550,4911779
10,10,Gremiomaniasm,Atlético Colorado 2021,528730,44574146
11,1,FBC Colorado,cartola scheuer17,186283,3851966
11,2,lsauer fc,Mau Humor F.C.,44810918,19033717
11,3,TEAM LOPES 99,VASCO MARTINS FC,479510,14696986
11,4,Paulo Virgili FC,TIGRE LEON,14124559,3424598
11,5,seralex,Rolo Compressor  ZN,29228373,18223508
11,6,pura bucha/internacional,Texas Club 2026,18661583,1273719
11,7,Fedato Futebol Clube,Tatols Beants F.C,18642587,212042
11,8,TORRESMO COM PINGA PRO26.2,MAFRA MARTINS FC,49126346,4911779
11,9,JV5 Tricolor Gaúcho,Gremiomaniasm,1747619,528730
11,10,Dom Camillo68,Atlético Colorado 2021,20696550,44574146
12,1,FBC Colorado,Rolo Compressor  ZN,186283,18223508
12,2,Mau Humor F.C.,VASCO MARTINS FC,19033717,14696986
12,3,lsauer fc,TIGRE LEON,44810918,3424598
12,4,TEAM LOPES 99,seralex,479510,29228373
12,5,pura bucha/internacional,Paulo Virgili FC,18661583,14124559
12,6,Fedato Futebol Clube,Texas Club 2026,18642587,1273719
12,7,cartola scheuer17,MAFRA MARTINS FC,3851966,4911779
12,8,Gremiomaniasm,Tatols Beants F.C,528730,212042
12,9,TORRESMO COM PINGA PRO26.2,Atlético Colorado 2021,49126346,44574146
12,10,Dom Camillo68,JV5 Tricolor Gaúcho,20696550,1747619
13,1,TEAM LOPES 99,FBC Colorado,479510,186283
13,2,TIGRE LEON,Mau Humor F.C.,3424598,19033717
13,3,VASCO MARTINS FC,seralex,14696986,29228373
13,4,pura bucha/internacional,lsauer fc,18661583,44810918
13,5,Paulo Virgili FC,Fedato Futebol Clube,14124559,18642587
13,6,MAFRA MARTINS FC,Rolo Compressor  ZN,4911779,18223508
13,7,Texas Club 2026,Gremiomaniasm,1273719,528730
13,8,Atlético Colorado 2021,cartola scheuer17,44574146,3851966
13,9,Tatols Beants F.C,Dom Camillo68,212042,20696550
13,10,TORRESMO COM PINGA PRO26.2,JV5 Tricolor Gaúcho,49126346,1747619
14,1,FBC Colorado,VASCO MARTINS FC,186283,14696986
14,2,seralex,Mau Humor F.C.,29228373,19033717
14,3,pura bucha/internacional,TIGRE LEON,18661583,3424598
14,4,Fedato Futebol Clube,lsauer fc,18642587,44810918
14,5,TEAM LOPES 99,MAFRA MARTINS FC,479510,4911779
14,6,Gremiomaniasm,Paulo Virgili FC,528730,14124559
14,7,Rolo Compressor  ZN,Atlético Colorado 2021,18223508,44574146
14,8,Texas Club 2026,Dom Camillo68,1273719,20696550
14,9,JV5 Tricolor Gaúcho,cartola scheuer17,1747619,3851966
14,10,TORRESMO COM PINGA PRO26.2,Tatols Beants F.C,49126346,212042
15,1,seralex,FBC Colorado,29228373,186283
15,2,Mau Humor F.C.,pura bucha/internacional,19033717,18661583
15,3,Fedato Futebol Clube,TIGRE LEON,18642587,3424598
15,4,MAFRA MARTINS FC,VASCO MARTINS FC,4911779,14696986
15,5,Gremiomaniasm,lsauer fc,528730,44810918
15,6,Atlético Colorado 2021,TEAM LOPES 99,44574146,479510
15,7,Dom Camillo68,Paulo Virgili FC,20696550,14124559
15,8,Rolo Compressor  ZN,JV5 Tricolor Gaúcho,18223508,1747619
15,9,Texas Club 2026,TORRESMO COM PINGA PRO26.2,1273719,49126346
15,10,cartola scheuer17,Tatols Beants F.C,3851966,212042
16,1,FBC Colorado,Mau Humor F.C.,186283,19033717
16,2,pura bucha/internacional,Fedato Futebol Clube,18661583,18642587
16,3,seralex,MAFRA MARTINS FC,29228373,4911779
16,4,TIGRE LEON,Gremiomaniasm,3424598,528730
16,5,Atlético Colorado 2021,VASCO MARTINS FC,44574146,14696986
16,6,Dom Camillo68,lsauer fc,20696550,44810918
16,7,JV5 Tricolor Gaúcho,TEAM LOPES 99,1747619,479510
16,8,TORRESMO COM PINGA PRO26.2,Paulo Virgili FC,49126346,14124559
16,9,Tatols Beants F.C,Rolo Compressor  ZN,212042,18223508
16,10,Texas Club 2026,cartola scheuer17,1273719,3851966
17,1,MAFRA MARTINS FC,FBC Colorado,4911779,186283
17,2,Fedato Futebol Clube,Mau Humor F.C.,18642587,19033717
17,3,pura bucha/internacional,Gremiomaniasm,18661583,528730
17,4,seralex,Atlético Colorado 2021,29228373,44574146
17,5,Dom Camillo68,TIGRE LEON,20696550,3424598
17,6,VASCO MARTINS FC,JV5 Tricolor Gaúcho,14696986,1747619
17,7,TORRESMO COM PINGA PRO26.2,lsauer fc,49126346,44810918
17,8,Tatols Beants F.C,TEAM LOPES 99,212042,479510
17,9,cartola scheuer17,Paulo Virgili FC,3851966,14124559
17,10,Rolo Compressor  ZN,Texas Club 2026,18223508,1273719
18,1,Atlético Colorado 2021,FBC Colorado,44574146,186283
18,2,MAFRA MARTINS FC,Mau Humor F.C.,4911779,19033717
18,3,Gremiomaniasm,Fedato Futebol Clube,528730,18642587
18,4,Dom Camillo68,pura bucha/internacional,20696550,18661583
18,5,seralex,JV5 Tricolor Gaúcho,29228373,1747619
18,6,TIGRE LEON,TORRESMO COM PINGA PRO26.2,3424598,49126346
18,7,VASCO MARTINS FC,Tatols Beants F.C,14696986,212042
18,8,cartola scheuer17,lsauer fc,3851966,44810918
18,9,TEAM LOPES 99,Texas Club 2026,479510,1273719
