Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,CAFÉ AMARGO PRO26.2,FBC Colorado,47547651,186283
1,2,JV5 Tricolor Gaúcho,PUXE FC,1747619,3447341
1,3,Sport Clube PAIM,TEAM LOPES 99,1148959,479510
1,4,TIGRE LEON,Pity10,3424598,48498051
1,5,cartola scheuer17,Tatols Beants F.C,3851966,212042
1,6,pura bucha/internacional,lsauer fc,18661583,44810918
1,7,Paulo Virgili FC,Texas Club 2026,14124559,1273719
1,8,Dom Camillo68,Fedato Futebol Clube,20696550,18642587
1,9,Gremiomaniasm,Mau Humor F.C.,528730,19033717
1,10,seralex,Rolo Compressor  ZN,29228373,18223508
2,1,FBC Colorado,TIGRE LEON,186283,3424598
2,2,CAFÉ AMARGO PRO26.2,PUXE FC,47547651,3447341
2,3,JV5 Tricolor Gaúcho,TEAM LOPES 99,1747619,479510
2,4,Tatols Beants F.C,Sport Clube PAIM,212042,1148959
2,5,lsauer fc,Pity10,44810918,48498051
2,6,cartola scheuer17,Texas Club 2026,3851966,1273719
2,7,pura bucha/internacional,Fedato Futebol Clube,18661583,18642587
2,8,Mau Humor F.C.,Paulo Virgili FC,19033717,14124559
2,9,Dom Camillo68,seralex,20696550,29228373
2,10,Gremiomaniasm,Rolo Compressor  ZN,528730,18223508
3,1,FBC Colorado,lsauer fc,186283,44810918
3,2,TEAM LOPES 99,PUXE FC,479510,3447341
3,3,TIGRE LEON,CAFÉ AMARGO PRO26.2,3424598,47547651
3,4,Tatols Beants F.C,JV5 Tricolor Gaúcho,212042,1747619
3,5,Texas Club 2026,Sport Clube PAIM,1273719,1148959
3,6,Pity10,Fedato Futebol Clube,48498051,18642587
3,7,Mau Humor F.C.,cartola scheuer17,19033717,3851966
3,8,seralex,pura bucha/internacional,29228373,18661583
3,9,Rolo Compressor  ZN,Paulo Virgili FC,18223508,14124559
3,10,Gremiomaniasm,Dom Camillo68,528730,20696550
4,1,Fedato Futebol Clube,FBC Colorado,18642587,186283
4,2,TIGRE LEON,PUXE FC,3424598,3447341
4,3,Tatols Beants F.C,TEAM LOPES 99,212042,479510
4,4,lsauer fc,CAFÉ AMARGO PRO26.2,44810918,47547651
4,5,Texas Club 2026,JV5 Tricolor Gaúcho,1273719,1747619
4,6,Sport Clube PAIM,Mau Humor F.C.,1148959,19033717
4,7,seralex,Pity10,29228373,48498051
4,8,Rolo Compressor  ZN,cartola scheuer17,18223508,3851966
4,9,pura bucha/internacional,Gremiomaniasm,18661583,528730
4,10,Dom Camillo68,Paulo Virgili FC,20696550,14124559
5,1,FBC Colorado,seralex,186283,29228373
5,2,PUXE FC,Tatols Beants F.C,3447341,212042
5,3,lsauer fc,TIGRE LEON,44810918,3424598
5,4,TEAM LOPES 99,Texas Club 2026,479510,1273719
5,5,Fedato Futebol Clube,CAFÉ AMARGO PRO26.2,18642587,47547651
5,6,JV5 Tricolor Gaúcho,Mau Humor F.C.,1747619,19033717
5,7,Rolo Compressor  ZN,Sport Clube PAIM,18223508,1148959
5,8,Gremiomaniasm,Pity10,528730,48498051
5,9,Dom Camillo68,cartola scheuer17,20696550,3851966
5,10,Paulo Virgili FC,pura bucha/internacional,14124559,18661583
6,1,FBC Colorado,Gremiomaniasm,186283,528730
6,2,PUXE FC,lsauer fc,3447341,44810918
6,3,Tatols Beants F.C,Texas Club 2026,212042,1273719
6,4,Fedato Futebol Clube,TIGRE LEON,18642587,3424598
6,5,TEAM LOPES 99,Mau Humor F.C.,479510,19033717
6,6,CAFÉ AMARGO PRO26.2,seralex,47547651,29228373
6,7,Rolo Compressor  ZN,JV5 Tricolor Gaúcho,18223508,1747619
6,8,Sport Clube PAIM,Dom Camillo68,1148959,20696550
6,9,Pity10,Paulo Virgili FC,48498051,14124559
6,10,cartola scheuer17,pura bucha/internacional,3851966,18661583
7,1,Paulo Virgili FC,FBC Colorado,14124559,186283
7,2,Texas Club 2026,PUXE FC,1273719,3447341
7,3,lsauer fc,Fedato Futebol Clube,44810918,18642587
7,4,Tatols Beants F.C,Mau Humor F.C.,212042,19033717
7,5,TIGRE LEON,seralex,3424598,29228373
7,6,TEAM LOPES 99,Rolo Compressor  ZN,479510,18223508
7,7,CAFÉ AMARGO PRO26.2,Gremiomaniasm,47547651,528730
