Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,pura bucha/internacional,FBC Colorado,18661583,186283
1,2,Texas Club 2026,TIGRE LEON,1273719,3424598
1,3,Dom Camillo68,mercearia Estrela,20696550,25401606
1,4,TEAM LOPES 99,Mau Humor F.C.,479510,19033717
1,5,Tatols Beants F.C,Fedato Futebol Clube,212042,18642587
1,6,Rolo Compressor  ZN,Paulo Virgili FC,18223508,14124559
1,7,TATITTA FC,CAFÉ AMARGO PRO26.2,49180400,47547651
1,8,lsauer fc,cartola scheuer17,44810918,3851966
1,9,Gremiomaniasm,pra sempre imortal fc,528730,25313333
1,10,A Lenda Super Vasco F.c,seralex,117598,29228373
2,1,Mau Humor F.C.,FBC Colorado,19033717,186283
2,2,Dom Camillo68,TIGRE LEON,20696550,3424598
2,3,Texas Club 2026,TEAM LOPES 99,1273719,479510
2,4,mercearia Estrela,Fedato Futebol Clube,25401606,18642587
2,5,Paulo Virgili FC,Tatols Beants F.C,14124559,212042
2,6,CAFÉ AMARGO PRO26.2,pura bucha/internacional,47547651,18661583
2,7,cartola scheuer17,Rolo Compressor  ZN,3851966,18223508
2,8,TATITTA FC,pra sempre imortal fc,49180400,25313333
2,9,seralex,lsauer fc,29228373,44810918
2,10,A Lenda Super Vasco F.c,Gremiomaniasm,117598,528730
3,1,Texas Club 2026,FBC Colorado,1273719,186283
3,2,TEAM LOPES 99,TIGRE LEON,479510,3424598
3,3,Dom Camillo68,Fedato Futebol Clube,20696550,18642587
3,4,Paulo Virgili FC,mercearia Estrela,14124559,25401606
3,5,CAFÉ AMARGO PRO26.2,Mau Humor F.C.,47547651,19033717
3,6,cartola scheuer17,Tatols Beants F.C,3851966,212042
3,7,pura bucha/internacional,pra sempre imortal fc,18661583,25313333
3,8,seralex,Rolo Compressor  ZN,29228373,18223508
3,9,TATITTA FC,A Lenda Super Vasco F.c,49180400,117598
3,10,lsauer fc,Gremiomaniasm,44810918,528730
4,1,TEAM LOPES 99,FBC Colorado,479510,186283
4,2,TIGRE LEON,Fedato Futebol Clube,3424598,18642587
4,3,Paulo Virgili FC,Dom Camillo68,14124559,20696550
4,4,CAFÉ AMARGO PRO26.2,Texas Club 2026,47547651,1273719
4,5,cartola scheuer17,mercearia Estrela,3851966,25401606
4,6,pra sempre imortal fc,Mau Humor F.C.,25313333,19033717
4,7,seralex,Tatols Beants F.C,29228373,212042
4,8,A Lenda Super Vasco F.c,pura bucha/internacional,117598,18661583
4,9,Rolo Compressor  ZN,Gremiomaniasm,18223508,528730
4,10,TATITTA FC,lsauer fc,49180400,44810918
5,1,TIGRE LEON,FBC Colorado,3424598,186283
5,2,Paulo Virgili FC,Fedato Futebol Clube,14124559,18642587
5,3,TEAM LOPES 99,CAFÉ AMARGO PRO26.2,479510,47547651
5,4,cartola scheuer17,Dom Camillo68,3851966,20696550
5,5,Texas Club 2026,pra sempre imortal fc,1273719,25313333
5,6,seralex,mercearia Estrela,29228373,25401606
5,7,Mau Humor F.C.,A Lenda Super Vasco F.c,19033717,117598
5,8,Tatols Beants F.C,Gremiomaniasm,212042,528730
5,9,lsauer fc,pura bucha/internacional,44810918,18661583
5,10,Rolo Compressor  ZN,TATITTA FC,18223508,49180400
6,1,FBC Colorado,CAFÉ AMARGO PRO26.2,186283,47547651
6,2,Paulo Virgili FC,TIGRE LEON,14124559,3424598
6,3,Fedato Futebol Clube,cartola scheuer17,18642587,3851966
6,4,TEAM LOPES 99,pra sempre imortal fc,479510,25313333
6,5,seralex,Dom Camillo68,29228373,20696550
6,6,Texas Club 2026,A Lenda Super Vasco F.c,1273719,117598
6,7,mercearia Estrela,Gremiomaniasm,25401606,528730
6,8,Mau Humor F.C.,lsauer fc,19033717,44810918
6,9,Tatols Beants F.C,TATITTA FC,212042,49180400
6,10,pura bucha/internacional,Rolo Compressor  ZN,18661583,18223508
7,1,FBC Colorado,pra sempre imortal fc,186283,25313333
7,2,CAFÉ AMARGO PRO26.2,TIGRE LEON,47547651,3424598
7,3,cartola scheuer17,Paulo Virgili FC,3851966,14124559
7,4,seralex,Fedato Futebol Clube,29228373,18642587
7,5,A Lenda Super Vasco F.c,TEAM LOPES 99,117598,479510
7,6,Dom Camillo68,Gremiomaniasm,20696550,528730
7,7,Texas Club 2026,lsauer fc,1273719,44810918
7,8,TATITTA FC,mercearia Estrela,49180400,25401606
7,9,Mau Humor F.C.,Rolo Compressor  ZN,19033717,18223508
7,10,Tatols Beants F.C,pura bucha/internacional,212042,18661583
8,1,FBC Colorado,A Lenda Super Vasco F.c,186283,117598
8,2,TIGRE LEON,cartola scheuer17,3424598,3851966
8,3,CAFÉ AMARGO PRO26.2,pra sempre imortal fc,47547651,25313333
8,4,seralex,Paulo Virgili FC,29228373,14124559
8,5,Fedato Futebol Clube,Gremiomaniasm,18642587,528730
8,6,lsauer fc,TEAM LOPES 99,44810918,479510
8,7,Dom Camillo68,TATITTA FC,20696550,49180400
8,8,Texas Club 2026,Rolo Compressor  ZN,1273719,18223508
8,9,pura bucha/internacional,mercearia Estrela,18661583,25401606
8,10,Mau Humor F.C.,Tatols Beants F.C,19033717,212042
9,1,FBC Colorado,lsauer fc,186283,44810918
9,2,TIGRE LEON,pra sempre imortal fc,3424598,25313333
9,3,seralex,cartola scheuer17,29228373,3851966
9,4,CAFÉ AMARGO PRO26.2,A Lenda Super Vasco F.c,47547651,117598
9,5,Gremiomaniasm,Paulo Virgili FC,528730,14124559
9,6,TATITTA FC,Fedato Futebol Clube,49180400,18642587
9,7,Rolo Compressor  ZN,TEAM LOPES 99,18223508,479510
9,8,pura bucha/internacional,Dom Camillo68,18661583,20696550
9,9,Texas Club 2026,Tatols Beants F.C,1273719,212042
9,10,Mau Humor F.C.,mercearia Estrela,19033717,25401606
10,1,FBC Colorado,Rolo Compressor  ZN,186283,18223508
10,2,seralex,TIGRE LEON,29228373,3424598
10,3,A Lenda Super Vasco F.c,pra sempre imortal fc,117598,25313333
10,4,Gremiomaniasm,cartola scheuer17,528730,3851966
10,5,CAFÉ AMARGO PRO26.2,lsauer fc,47547651,44810918
10,6,Paulo Virgili FC,TATITTA FC,14124559,49180400
10,7,pura bucha/internacional,Fedato Futebol Clube,18661583,18642587
10,8,Tatols Beants F.C,TEAM LOPES 99,212042,479510
10,9,Mau Humor F.C.,Dom Camillo68,19033717,20696550
10,10,Texas Club 2026,mercearia Estrela,1273719,25401606
11,1,FBC Colorado,Tatols Beants F.C,186283,212042
11,2,TIGRE LEON,A Lenda Super Vasco F.c,3424598,117598
11,3,Gremiomaniasm,seralex,528730,29228373
11,4,pra sempre imortal fc,lsauer fc,25313333,44810918
11,5,cartola scheuer17,TATITTA FC,3851966,49180400
11,6,CAFÉ AMARGO PRO26.2,Rolo Compressor  ZN,47547651,18223508
11,7,Paulo Virgili FC,pura bucha/internacional,14124559,18661583
11,8,Mau Humor F.C.,Fedato Futebol Clube,19033717,18642587
11,9,mercearia Estrela,TEAM LOPES 99,25401606,479510
11,10,Texas Club 2026,Dom Camillo68,1273719,20696550
12,1,mercearia Estrela,FBC Colorado,25401606,186283
12,2,Gremiomaniasm,TIGRE LEON,528730,3424598
12,3,A Lenda Super Vasco F.c,lsauer fc,117598,44810918
12,4,TATITTA FC,seralex,49180400,29228373
12,5,pra sempre imortal fc,Rolo Compressor  ZN,25313333,18223508
12,6,pura bucha/internacional,cartola scheuer17,18661583,3851966
12,7,CAFÉ AMARGO PRO26.2,Tatols Beants F.C,47547651,212042
12,8,Paulo Virgili FC,Mau Humor F.C.,14124559,19033717
12,9,Texas Club 2026,Fedato Futebol Clube,1273719,18642587
