Clube ID,Jogos,Pontos,Vitorias,Empates,Derrotas,SG Total,Gols Marcados,Gols Sofridos,Gols Marcados Casa,Gols Sofridos Casa,Gols Marcados Fora,Gols Sofridos Fora,Vitorias Casa,Empates Casa,Derrotas Casa,Vitorias Fora,Empates Fora,Derrotas Fora,Jogos Casa,Jogos Fora
PAL,4,10,3,1,0,7,12,5,7,2,5,3,2,0,0,1,1,0,2,2
SAO,4,10,3,1,0,4,6,2,4,1,2,1,2,0,0,1,1,0,2,2
COR,4,7,2,1,1,2,5,3,3,2,2,1,1,0,1,1,1,0,2,2
BAH,3,7,2,1,0,2,4,2,1,1,3,1,0,1,0,2,0,0,1,2
FLU,4,7,2,1,1,1,5,4,3,1,2,3,2,0,0,0,1,1,2,2
CAP,4,7,2,1,1,1,4,3,2,2,2,1,1,0,1,1,1,0,2,2
RBB,4,7,2,1,1,0,3,3,2,1,1,2,1,1,0,1,0,1,2,2
GRE,4,6,2,0,2,0,8,8,7,4,1,4,2,0,0,0,0,2,2,2
MIR,4,6,1,3,0,1,8,7,6,5,2,2,1,2,0,0,1,0,3,1
CHA,3,5,1,2,0,2,8,6,7,5,1,1,1,1,0,0,1,0,2,1
SAN,5,5,1,2,2,-2,8,10,3,2,5,8,1,1,0,0,1,2,2,3
FLA,3,4,1,1,1,0,4,4,1,1,3,3,0,1,0,1,0,1,1,2
CFC,4,4,1,1,2,-1,5,6,0,2,5,4,0,0,2,1,1,0,2,2
BOT,3,3,1,0,2,1,7,6,4,0,3,6,1,0,0,0,0,2,1,2
VIT,3,3,1,0,2,-3,4,7,3,2,1,5,1,0,1,0,0,1,2,1
REM,4,3,0,3,1,-2,6,8,3,3,3,5,0,2,0,0,1,1,2,2
CAM,4,2,0,2,2,-2,6,8,5,5,1,3,0,2,0,0,0,2,2,2
INT,4,2,0,2,2,-3,3,6,1,4,2,2,0,0,2,0,2,0,2,2
CRU,4,2,0,2,2,-5,4,9,2,3,2,6,0,1,1,0,1,1,2,2
VAS,4,1,0,1,3,-3,3,6,1,2,2,4,0,1,1,0,0,2,2,2
