Clube ID,% Vitorias Casa,% Empates Casa,% Derrotas Casa,% Vitorias Fora,% Empates Fora,% Derrotas Fora
SAO,100.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0
PAL,100.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333
FLU,100.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333
BAH,0.0,100.0,0.0,100.0,0.0,0.0
FLA,50.0,50.0,0.0,66.66666666666666,0.0,33.33333333333333
CFC,33.33333333333333,0.0,66.66666666666666,66.66666666666666,33.33333333333333,0.0
GRE,66.66666666666666,33.33333333333333,0.0,0.0,33.33333333333333,66.66666666666666
COR,33.33333333333333,0.0,66.66666666666666,33.33333333333333,66.66666666666666,0.0
RBB,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
CAP,50.0,0.0,50.0,33.33333333333333,33.33333333333333,33.33333333333333
VIT,66.66666666666666,0.0,33.33333333333333,0.0,50.0,50.0
CHA,33.33333333333333,66.66666666666666,0.0,0.0,50.0,50.0
MIR,33.33333333333333,66.66666666666666,0.0,0.0,50.0,50.0
SAN,33.33333333333333,66.66666666666666,0.0,0.0,33.33333333333333,66.66666666666666
VAS,33.33333333333333,33.33333333333333,33.33333333333333,0.0,33.33333333333333,66.66666666666666
CAM,33.33333333333333,66.66666666666666,0.0,0.0,0.0,100.0
BOT,50.0,0.0,50.0,0.0,0.0,100.0
REM,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,66.66666666666666
CRU,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,66.66666666666666
INT,0.0,0.0,100.0,0.0,66.66666666666666,33.33333333333333
