Clube ID,Media Gols Marcados Casa,Media Gols Marcados Fora,Media Gols Sofridos Casa,Media Gols Sofridos Fora,Saldo Gols Casa,Saldo Gols Fora
PAL,3.5,2.5,1.0,1.5,5,2
SAO,2.0,1.0,0.5,0.5,3,1
COR,1.5,1.0,1.0,0.5,1,1
BAH,1.0,1.5,1.0,0.5,0,2
FLU,1.5,1.0,0.5,1.5,2,-1
CAP,1.0,1.0,1.0,0.5,0,1
RBB,1.0,0.5,0.5,1.0,1,-1
GRE,3.5,0.5,2.0,2.0,3,-3
MIR,2.0,2.0,1.6666666666666667,2.0,1,0
CHA,3.5,1.0,2.5,1.0,2,0
SAN,1.5,1.6666666666666667,1.0,2.6666666666666665,1,-3
FLA,1.0,1.5,1.0,1.5,0,0
CFC,0.0,2.5,1.0,2.0,-2,1
BOT,4.0,1.5,0.0,3.0,4,-3
VIT,1.5,1.0,1.0,5.0,1,-4
REM,1.5,1.5,1.5,2.5,0,-2
CAM,2.5,0.5,2.5,1.5,0,-2
INT,0.5,1.0,2.0,1.0,-3,0
CRU,1.0,1.0,1.5,3.0,-1,-4
VAS,0.5,1.0,1.0,2.0,-1,-2
