Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,CA,DS,FC,FF,I,FS,SG,G,FD,PS,DE,GS,PC,V,FT,A,GC,CV,DP,PP
1,100084,Igor Gomes,CAM,Meia,mandante,PAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100342,Léo Andrade,REM,Zagueiro,visitante,VIT,3.2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100652,Yuri Alberto,COR,Atacante,mandante,BAH,0.7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100742,Matheus Henrique,CRU,Meia,visitante,BOT,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100842,Ruan,CAM,Zagueiro,mandante,PAL,-1.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100898,Vitinho,BOT,Lateral,mandante,CRU,7.7,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100987,Nonato,FLU,Meia,mandante,GRE,6.4,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,101254,Alef Manga,REM,Atacante,visitante,VIT,0.9,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101314,Ademir,BAH,Atacante,visitante,COR,5.2,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,101393,Eduardo Doma,CHA,Zagueiro,mandante,SAN,3.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101405,Wallisson,CFC,Meia,mandante,RBB,4.2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101574,Hugo Souza,COR,Goleiro,mandante,BAH,2.2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0
1,101597,Ramon,VIT,Lateral,mandante,REM,4.7,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101727,Matheuzinho,COR,Lateral,mandante,BAH,4.8,0,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101908,Willian Machado,MIR,Zagueiro,mandante,VAS,0.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101960,Vitinho,INT,Atacante,mandante,CAP,1.9,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102130,Piquerez,PAL,Lateral,visitante,CAM,5.3,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102256,Rollheiser,SAN,Meia,visitante,CHA,2.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,102667,Nathan Fogaça,MIR,Atacante,mandante,VAS,-0.9,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102796,Julimar,CAP,Atacante,visitante,INT,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102911,Zé Ricardo,REM,Meia,visitante,VIT,0.1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102928,Canobbio,FLU,Atacante,mandante,GRE,5.7,0,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,103056,Gabriel Brazão,SAN,Goleiro,visitante,CHA,-6.0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
1,103445,Kaio Jorge,CRU,Atacante,visitante,BOT,2.2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103767,Gabriel Menino,SAN,Meia,visitante,CHA,16.7,0,1,2,0,3,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0
1,103912,Hernán Crespo,SAO,Técnico,mandante,FLA,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,103987,Higor Meritão,CHA,Meia,mandante,SAN,13.4,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,104027,Rafael Guanaes,MIR,Técnico,mandante,VAS,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,104075,Sabino,SAO,Zagueiro,mandante,FLA,5.2,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104084,Carlos Miguel,PAL,Goleiro,visitante,CAM,-0.7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,104134,Fabri,VIT,Atacante,mandante,REM,5.4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,104257,João Lucas,REM,Lateral,visitante,VIT,2.2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,104330,Dudu,VIT,Meia,mandante,REM,-0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104470,Everton,CHA,Lateral,mandante,SAN,2.7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104502,Christian,CRU,Meia,visitante,BOT,1.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104519,Camilo,CHA,Meia,mandante,SAN,4.4,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104693,Newton,BOT,Meia,mandante,CRU,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104754,Juan Vojvoda,SAN,Técnico,visitante,CHA,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104758,Enzo Díaz,SAO,Lateral,mandante,FLA,9.2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,104783,Acevedo,BAH,Meia,visitante,COR,1.9,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104811,Sebastián Gómez,CFC,Meia,mandante,RBB,2.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104994,Wagner Leonardo,GRE,Zagueiro,visitante,FLU,3.9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105047,João Marcelo,CRU,Zagueiro,visitante,BOT,-0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105068,Reinier,CAM,Meia,mandante,PAL,1.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,105089,Tetê,GRE,Atacante,visitante,FLU,3.3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105114,Alexis Duarte,SAN,Zagueiro,visitante,CHA,-1.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105157,Villagra,INT,Meia,mandante,CAP,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105175,Khellven,PAL,Lateral,visitante,CAM,0.2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,105213,Sant Anna,RBB,Lateral,visitante,CFC,6.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,105214,Santiago Rodríguez,BOT,Meia,mandante,CRU,5.7,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105436,Carrascal,FLA,Meia,visitante,SAO,3.2,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,105531,Matheus Bidu,COR,Lateral,mandante,BAH,5.1,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,105563,Carlos Vinícius,GRE,Atacante,visitante,FLU,12.0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,105584,Lucas Piton,VAS,Lateral,visitante,MIR,-0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105647,Maurício,PAL,Meia,visitante,CAM,-0.8,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,105664,Walter Clar,CHA,Lateral,mandante,SAN,9.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,105903,Aldo Filho,MIR,Meia,mandante,VAS,-0.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105949,Rochet,INT,Goleiro,mandante,CAP,1.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,105990,Santiago Mingo,BAH,Zagueiro,visitante,COR,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106104,Enamorado,GRE,Atacante,visitante,FLU,1.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,106202,Bruno Gomes,INT,Meia,mandante,CAP,5.1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106294,Marcos Antônio,SAO,Meia,mandante,FLA,7.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106708,Igor Formiga,MIR,Lateral,mandante,VAS,4.0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106822,Rodrigo Nestor,BAH,Meia,visitante,COR,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107093,Luciano Juba,BAH,Lateral,visitante,COR,6.2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,107172,Patrick de Paula,REM,Meia,visitante,VIT,1.8,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107173,Michel Araújo,BAH,Meia,visitante,COR,-3.1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,107174,Bruno Tabata,INT,Meia,mandante,CAP,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107231,Danilo,BOT,Meia,mandante,CRU,17.2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,107453,João Paulo,CHA,Zagueiro,mandante,SAN,7.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,107700,Eduardo Melo,REM,Atacante,visitante,VIT,1.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107873,Bobadilla,SAO,Meia,mandante,FLA,6.2,0,0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,107985,Terán,CAP,Zagueiro,visitante,INT,7.7,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107989,Carbonero,INT,Atacante,mandante,CAP,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,108474,Santi Moreno,FLU,Atacante,mandante,GRE,-0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
