Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,CA,DS,FC,FF,I,FS,SG,G,FD,PS,DE,GS,PC,V,FT,A,GC,CV,DP,PP
1,100084,Igor Gomes,CAM,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
1,100342,Léo Andrade,REM,Zagueiro,visitante,3.2,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
1,100652,Yuri Alberto,COR,Atacante,mandante,0.7,,,,1.0,1.0,,,,,,,,,,,,,,,
1,100742,Matheus Henrique,CRU,Meia,visitante,1.5,,1.0,,,,,,,,,,,,,,,,,,
1,100842,Ruan,CAM,Zagueiro,mandante,-1.3,1.0,,1.0,,,,,,,,,,,,,,,,,
1,100898,Vitinho,BOT,Lateral,mandante,7.7,,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,
1,100987,Nonato,FLU,Meia,mandante,6.4,1.0,,2.0,,,,,1.0,,,,,,,,,,,,
1,101254,Alef Manga,REM,Atacante,visitante,0.9,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1,101314,Ademir,BAH,Atacante,visitante,5.2,,1.0,,,,3.0,,,1.0,1.0,,,,,,,,,,
1,101393,Eduardo Doma,CHA,Zagueiro,mandante,3.0,,2.0,,,,,,,,,,,,,,,,,,
1,101405,Wallisson,CFC,Meia,mandante,4.2,,3.0,1.0,,,,,,,,,,,,,,,,,
1,101574,Hugo Souza,COR,Goleiro,mandante,2.2,,,,,,,,,,,4.0,2.0,1.0,,,,,,,
1,101597,Ramon,VIT,Lateral,mandante,4.7,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,
1,101727,Matheuzinho,COR,Lateral,mandante,4.8,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
1,101908,Willian Machado,MIR,Zagueiro,mandante,0.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,
1,101960,Vitinho,INT,Atacante,mandante,1.9,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,
1,102130,Piquerez,PAL,Lateral,visitante,5.3,,2.0,,1.0,,3.0,,,,,,,,,,,,,,
1,102256,Rollheiser,SAN,Meia,visitante,2.5,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
1,102667,Nathan Fogaça,MIR,Atacante,mandante,-0.9,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
1,102796,Julimar,CAP,Atacante,visitante,0.8,,,,1.0,,,,,,,,,,,,,,,,
1,102911,Zé Ricardo,REM,Meia,visitante,0.1,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,
1,102928,Canobbio,FLU,Atacante,mandante,5.7,,2.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,
1,103056,Gabriel Brazão,SAN,Goleiro,visitante,-6.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,,
1,103445,Kaio Jorge,CRU,Atacante,visitante,2.2,,,,3.0,2.0,,,,,,,,,,,,,,,
1,103767,Gabriel Menino,SAN,Meia,visitante,16.7,1.0,2.0,,3.0,1.0,4.0,,1.0,2.0,,,,,,,,,,,
1,103912,Hernán Crespo,SAO,Técnico,mandante,7.59,,,,,,,,,,,,,,1.0,,,,,,
1,103987,Higor Meritão,CHA,Meia,mandante,13.4,,4.0,2.0,,,,,1.0,,,,,,,,,,,,
1,104027,Rafael Guanaes,MIR,Técnico,mandante,4.8,,,,,,,,,,,,,,1.0,,,,,,
1,104075,Sabino,SAO,Zagueiro,mandante,5.2,,3.0,1.0,,,2.0,,,,,,,,,,,,,,
1,104084,Carlos Miguel,PAL,Goleiro,visitante,-0.7,,,,,,,,,,,1.0,2.0,,,,,,,,
1,104134,Fabri,VIT,Atacante,mandante,5.4,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,
1,104257,João Lucas,REM,Lateral,visitante,2.2,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,
1,104330,Dudu,VIT,Meia,mandante,-0.3,,,1.0,,,,,,,,,,,,,,,,,
1,104470,Everton,CHA,Lateral,mandante,2.7,,2.0,1.0,,,,,,,,,,,,,,,,,
1,104502,Christian,CRU,Meia,visitante,1.2,,1.0,1.0,,,,,,,,,,,,,,,,,
1,104519,Camilo,CHA,Meia,mandante,4.4,1.0,4.0,2.0,,,,,,,,,,,,,,,,,
1,104693,Newton,BOT,Meia,mandante,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,
1,104754,Juan Vojvoda,SAN,Técnico,visitante,5.21,,,,,,,,,,,,,,,,,,,,
1,104758,Enzo Díaz,SAO,Lateral,mandante,9.2,,3.0,1.0,,,,,,,,,,,,,1.0,,,,
1,104783,Acevedo,BAH,Meia,visitante,1.9,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,
1,104811,Sebastián Gómez,CFC,Meia,mandante,2.0,,,,,,4.0,,,,,,,,,,,,,,
1,104994,Wagner Leonardo,GRE,Zagueiro,visitante,3.9,,3.0,2.0,,,,,,,,,,,,,,,,,
1,105047,João Marcelo,CRU,Zagueiro,visitante,-0.3,,,1.0,,,,,,,,,,,,,,,,,
1,105068,Reinier,CAM,Meia,mandante,1.7,,,,,,1.0,,,1.0,,,,,,,,,,,
1,105089,Tetê,GRE,Atacante,visitante,3.3,,1.0,,1.0,,2.0,,,,,,,,,,,,,,
1,105114,Alexis Duarte,SAN,Zagueiro,visitante,-1.3,1.0,,1.0,,,,,,,,,,,,,,,,,
1,105157,Villagra,INT,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
1,105175,Khellven,PAL,Lateral,visitante,0.2,,2.0,1.0,,,1.0,,,,,,,,,,,1.0,,,
1,105213,Sant Anna,RBB,Lateral,visitante,6.2,,,,,,,1.0,,1.0,,,,,,,,,,,
1,105214,Santiago Rodríguez,BOT,Meia,mandante,5.7,,3.0,1.0,,,3.0,,,,,,,,,,,,,,
1,105436,Carrascal,FLA,Meia,visitante,3.2,,,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,
1,105531,Matheus Bidu,COR,Lateral,mandante,5.1,,2.0,,,1.0,2.0,,,1.0,,,,,,,,,,,
1,105563,Carlos Vinícius,GRE,Atacante,visitante,12.0,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,
1,105584,Lucas Piton,VAS,Lateral,visitante,-0.3,,,1.0,,,,,,,,,,,,,,,,,
1,105647,Maurício,PAL,Meia,visitante,-0.8,1.0,,3.0,,1.0,,,,1.0,,,,,,,,,,,
1,105664,Walter Clar,CHA,Lateral,mandante,9.5,,1.0,,,,,,1.0,,,,,,,,,,,,
1,105903,Aldo Filho,MIR,Meia,mandante,-0.6,,,2.0,,,,,,,,,,,,,,,,,
1,105949,Rochet,INT,Goleiro,mandante,1.8,,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1,105990,Santiago Mingo,BAH,Zagueiro,visitante,0.5,,,,,,1.0,,,,,,,,,,,,,,
1,106104,Enamorado,GRE,Atacante,visitante,1.2,,,,,,,,,1.0,,,,,,,,,,,
1,106202,Bruno Gomes,INT,Meia,mandante,5.1,,2.0,,2.0,,1.0,,,,,,,,,,,,,,
1,106294,Marcos Antônio,SAO,Meia,mandante,7.5,,5.0,,,,,,,,,,,,,,,,,,
1,106708,Igor Formiga,MIR,Lateral,mandante,4.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1,106822,Rodrigo Nestor,BAH,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
1,107093,Luciano Juba,BAH,Lateral,visitante,6.2,,3.0,,,,1.0,,,1.0,,,,,,,,,,,
1,107172,Patrick de Paula,REM,Meia,visitante,1.8,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
1,107173,Michel Araújo,BAH,Meia,visitante,-3.1,,,2.0,,,1.0,,,,,,,,,,,,1.0,,
1,107174,Bruno Tabata,INT,Meia,mandante,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,
1,107231,Danilo,BOT,Meia,mandante,17.2,,1.0,1.0,,,,,2.0,,,,,,,,,,,,
1,107453,João Paulo,CHA,Zagueiro,mandante,7.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,
1,107700,Eduardo Melo,REM,Atacante,visitante,1.4,,1.0,,,1.0,,,,,,,,,,,,,,,
1,107873,Bobadilla,SAO,Meia,mandante,6.2,,4.0,3.0,,1.0,,,,1.0,,,,,,,,,,,
1,107985,Terán,CAP,Zagueiro,visitante,7.7,,2.0,1.0,,,,1.0,,,,,,,,,,,,,
1,107989,Carbonero,INT,Atacante,mandante,0.5,,,,,,1.0,,,,,,,,,,,,,,
1,108474,Santi Moreno,FLU,Atacante,mandante,-0.3,,,1.0,,,,,,,,,,,,,,,,,
1,108588,Tapia,SAO,Atacante,mandante,1.5,,1.0,,,,,,,,,,,,,,,,,,
1,108713,Galeano,MIR,Atacante,mandante,1.2,,,,,,,,,1.0,,,,,,,,,,,
1,109096,Plata,FLA,Atacante,visitante,10.6,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,
1,109127,Tiago Cóser,CFC,Zagueiro,mandante,1.5,,1.0,,,,,,,,,,,,,,,,,,
1,109336,Rafael Carvalheira,CHA,Meia,mandante,9.2,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
1,109401,Erick Pulga,BAH,Atacante,visitante,3.4,1.0,1.0,2.0,1.0,,3.0,,,1.0,,,,,,,,,,,
1,109573,Martinelli,FLU,Meia,mandante,1.7,,,1.0,1.0,,,,,1.0,,,,,,,,,,,
1,110426,Bernabéi,INT,Lateral,mandante,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,
1,110506,Abel Ferreira,PAL,Técnico,visitante,3.66,,,,,,,,,,,,,,,,,,,,
1,110510,Aguirre,INT,Lateral,mandante,2.7,,2.0,1.0,,,,,,,,,,,,,,,,,
1,110715,Andrés Hurtado,RBB,Lateral,visitante,4.2,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,
1,110750,Gustavo Marques,RBB,Zagueiro,visitante,9.7,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
1,110759,John Kennedy,FLU,Atacante,mandante,1.6,,,2.0,,,2.0,,,1.0,,,,,,,,,,,
1,111246,Alix Vinicius,RBB,Zagueiro,visitante,3.4,1.0,,2.0,,,,1.0,,,,,,,,,,,,,
1,111309,Gustavo Martins,GRE,Zagueiro,visitante,10.2,,3.0,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,
1,111466,Victor Gabriel,INT,Zagueiro,mandante,3.0,,2.0,,,,,,,,,,,,,,,,,,
1,111831,Matheus Martins,BOT,Atacante,mandante,10.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,
1,111879,Mateus Silva,VIT,Lateral,mandante,9.7,,2.0,2.0,1.0,,3.0,1.0,,,,,,,,,,,,,
1,112576,Vini Paulista,CFC,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
1,112709,Kaiki Bruno,CRU,Lateral,visitante,2.2,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,
1,112863,Ramón Sosa,PAL,Atacante,visitante,1.7,,,,,,1.0,,,1.0,,,,,,,,,,,
1,112886,Lucas Barbosa,RBB,Atacante,visitante,4.0,,1.0,3.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,,
1,113034,Freytes,FLU,Zagueiro,mandante,1.2,,1.0,1.0,,,,,,,,,,,,,,,,,
1,113103,Flaco López,PAL,Atacante,visitante,16.1,,4.0,3.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,
1,113113,Benavídez,CAP,Lateral,visitante,9.2,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1,113359,Pablo Maia,SAO,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
1,113397,Cristian Olivera,BAH,Atacante,visitante,2.9,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
1,114802,Vitor Roque,PAL,Atacante,visitante,7.6,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,
1,115025,Miguelito,SAN,Meia,visitante,3.6,,1.0,,2.0,,1.0,,,,,,,,,,,,,,
1,115100,Matheus França,VAS,Meia,visitante,0.8,,,,1.0,,,,,,,,,,,,,,,,
1,115479,Paulo Pezzolano,INT,Técnico,mandante,2.26,,,,,,,,,,,,,,,,,,,,
1,115914,Evertton Araújo,FLA,Meia,visitante,2.1,,,,2.0,,1.0,,,,,,,,,,,,,,
1,116034,Victor Hugo,CAM,Meia,mandante,9.5,,1.0,,,,,,1.0,,,,,,,,,,,,
1,116461,Jamerson,VIT,Lateral,mandante,6.5,,1.0,,,,,1.0,,,,,,,,,,,,,
1,116706,Andrés Gómez,VAS,Atacante,visitante,6.0,,2.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,
1,117330,Robert Renan,VAS,Zagueiro,visitante,1.9,,1.0,2.0,,,2.0,,,,,,,,,,,,,,
1,117403,Renato Marques,MIR,Atacante,mandante,2.1,,,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,
1,117632,Garro,COR,Meia,mandante,10.0,,1.0,,1.0,,3.0,,,1.0,,,,,,,1.0,,,,
1,117910,Breno Bidon,COR,Meia,mandante,14.7,1.0,2.0,1.0,,,4.0,,1.0,,,,,,,1.0,,,,,
1,117930,Lavega,CFC,Atacante,mandante,1.5,,,1.0,1.0,,2.0,,,,,,,,,,,,,,
1,117965,Martín Anselmi,BOT,Técnico,mandante,11.04,,,,,,,,,,,,,,1.0,,,,,,
1,118774,Alexsander,CAM,Meia,mandante,1.7,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,
1,118775,Lautaro Díaz,SAN,Atacante,visitante,5.8,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,
1,120433,Léo Derik,CAP,Lateral,visitante,10.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,
1,121792,André,GRE,Atacante,visitante,-1.0,1.0,,,,,,,,,,,,,,,,,,,
1,122394,Gustavinho,RBB,Meia,visitante,7.5,,2.0,3.0,1.0,,2.0,,,3.0,,,,,,,,,,,
1,122441,Kayky Almeida,REM,Zagueiro,visitante,0.6,,1.0,3.0,,,,,,,,,,,,,,,,,
1,122485,Barros,VAS,Meia,visitante,9.0,,4.0,,,,6.0,,,,,,,,,,,,,,
1,122487,GB,VAS,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
1,122781,Caballero,SAN,Atacante,visitante,1.6,,,,2.0,,,,,,,,,,,,,,,,
1,123625,Ítalo,CHA,Atacante,mandante,2.9,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,
1,123648,Lucas Ronier,CFC,Atacante,mandante,5.0,,3.0,,,,1.0,,,,,,,,,,,,,,
1,123869,Aguirre,CAP,Zagueiro,visitante,6.7,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
1,124239,Henry Mosquera,RBB,Atacante,visitante,2.9,,,1.0,1.0,,,,,2.0,,,,,,,,,,,
1,124481,Mateo Ponte,BOT,Lateral,mandante,6.2,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
1,124526,Giay,PAL,Lateral,visitante,0.5,,,,,,1.0,,,,,,,,,,,,,,
1,124757,Nathan Fernandes,BOT,Atacante,mandante,5.5,,,,,,1.0,,,,,,,,,,1.0,,,,
1,124912,Jonathan Jesus,CRU,Zagueiro,visitante,0.0,,,,,,,,,,,,,,,,,,,,
1,125746,Dudu,CAP,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
1,125803,Pedro Morisco,CFC,Goleiro,mandante,11.7,,,,,,2.0,,,,,9.0,1.0,,,,,,,,
1,125926,Zapelli,CAP,Meia,visitante,2.5,,1.0,,,,2.0,,,,,,,,,,,,,,
1,126120,Marcelinho,RBB,Meia,visitante,6.3,,,1.0,2.0,,,,,,,,,,,,1.0,,,,
1,126182,Paulinho,INT,Meia,mandante,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
1,126471,Barreal,SAN,Meia,visitante,12.6,,2.0,,2.0,,,,1.0,,,,,,,,,,,,
1,126977,Fernando Seabra,CFC,Técnico,mandante,4.32,,,,,,,,,,,,,,,,,,,,
1,128433,Johan Rojas,VAS,Meia,visitante,1.7,,,1.0,1.0,,,,,1.0,,,,,,,,,,,
1,130414,Robert,CHA,Meia,mandante,3.0,,2.0,,,,,,,,,,,,,,,,,,
